user_id,property_id,tags
U005,P002,"Investment Potential, Near Public Transport, Budget-Friendly, Good Locality"
U012,P004,"Family-Friendly, Good Locality, Investment Potential, Budget-Friendly, Near Public Transport"
U020,P012,"Family-Friendly, Near Public Transport, Budget-Friendly, Good Locality, Spacious"
U004,P008,Family-Friendly
U005,P020,"Budget-Friendly, Spacious"
U005,P006,Good Locality
U014,P013,"Budget-Friendly, Spacious, Investment Potential, Good Locality"
U015,P006,"Spacious, Good Locality, Budget-Friendly, Family-Friendly"
U019,P011,"Good Locality, Budget-Friendly, Spacious"
U020,P016,"Budget-Friendly, Spacious, Investment Potential, Near Public Transport, Good Locality"
U006,P017,"Budget-Friendly, Spacious, Family-Friendly, Good Locality, Investment Potential, Near Public Transport"
U010,P015,"Investment Potential, Budget-Friendly, Near Public Transport, Good Locality, Family-Friendly"
U012,P010,Good Locality
U003,P019,"Investment Potential, Family-Friendly, Near Public Transport, Spacious, Budget-Friendly"
U007,P012,"Spacious, Near Public Transport, Budget-Friendly, Good Locality, Family-Friendly, Investment Potential"
U015,P010,Near Public Transport
U009,P008,"Investment Potential, Budget-Friendly, Good Locality, Spacious"
U012,P003,"Budget-Friendly, Investment Potential, Good Locality, Family-Friendly, Spacious, Near Public Transport"
U017,P001,"Budget-Friendly, Good Locality, Investment Potential, Near Public Transport"
U003,P008,"Family-Friendly, Budget-Friendly, Investment Potential, Spacious, Good Locality, Near Public Transport"
U015,P018,"Investment Potential, Good Locality"
U012,P004,"Family-Friendly, Good Locality, Near Public Transport"
U006,P010,"Budget-Friendly, Family-Friendly, Near Public Transport, Good Locality, Spacious, Investment Potential"
U014,P019,"Investment Potential, Near Public Transport"
U018,P020,"Family-Friendly, Budget-Friendly, Investment Potential, Spacious"
U018,P002,"Family-Friendly, Near Public Transport, Spacious, Investment Potential, Budget-Friendly"
U017,P006,"Budget-Friendly, Spacious, Near Public Transport, Investment Potential, Family-Friendly, Good Locality"
U001,P009,"Spacious, Budget-Friendly, Investment Potential, Family-Friendly"
U012,P001,"Family-Friendly, Budget-Friendly, Spacious"
U002,P016,"Investment Potential, Spacious"
U016,P008,Spacious
U011,P017,Spacious
U013,P009,"Investment Potential, Spacious, Good Locality, Near Public Transport, Family-Friendly, Budget-Friendly"
U008,P004,"Family-Friendly, Good Locality, Near Public Transport, Investment Potential"
U008,P006,"Good Locality, Near Public Transport, Spacious, Budget-Friendly, Investment Potential"
U010,P019,"Family-Friendly, Spacious, Good Locality"
U002,P015,"Family-Friendly, Budget-Friendly"
U019,P006,"Budget-Friendly, Good Locality, Near Public Transport"
U016,P007,"Investment Potential, Budget-Friendly, Spacious, Near Public Transport, Family-Friendly, Good Locality"
U007,P016,Family-Friendly
U012,P019,"Spacious, Good Locality"
U014,P007,"Near Public Transport, Spacious"
U001,P011,"Spacious, Good Locality"
U011,P001,"Family-Friendly, Investment Potential, Spacious, Good Locality"
U020,P018,"Family-Friendly, Near Public Transport, Budget-Friendly, Investment Potential, Spacious"
U012,P010,Family-Friendly
U019,P005,"Spacious, Family-Friendly"
U018,P013,Spacious
U002,P018,"Budget-Friendly, Good Locality, Near Public Transport, Family-Friendly, Spacious"
U017,P007,Investment Potential
U009,P009,"Good Locality, Investment Potential, Family-Friendly, Near Public Transport"
U015,P018,"Spacious, Good Locality, Near Public Transport, Family-Friendly"
U003,P002,"Budget-Friendly, Investment Potential, Family-Friendly"
U018,P009,"Near Public Transport, Investment Potential"
U011,P005,"Near Public Transport, Spacious, Good Locality"
U001,P008,"Investment Potential, Good Locality, Budget-Friendly, Near Public Transport"
U019,P008,"Good Locality, Budget-Friendly, Near Public Transport, Family-Friendly"
U008,P011,"Budget-Friendly, Investment Potential, Spacious, Good Locality"
U020,P010,Spacious
U015,P014,"Spacious, Family-Friendly, Investment Potential, Budget-Friendly"
U012,P013,"Good Locality, Family-Friendly"
U002,P018,"Investment Potential, Good Locality, Budget-Friendly"
U018,P013,"Investment Potential, Spacious, Near Public Transport, Good Locality, Family-Friendly"
U006,P011,"Budget-Friendly, Good Locality, Family-Friendly"
U009,P013,"Budget-Friendly, Family-Friendly"
U012,P013,"Investment Potential, Budget-Friendly, Good Locality, Family-Friendly, Near Public Transport, Spacious"
U019,P001,Spacious
U009,P007,"Family-Friendly, Spacious, Near Public Transport, Budget-Friendly"
U013,P018,"Family-Friendly, Spacious, Good Locality"
U008,P004,"Budget-Friendly, Family-Friendly, Good Locality, Investment Potential"
U003,P010,"Family-Friendly, Investment Potential"
U005,P004,"Near Public Transport, Budget-Friendly"
U013,P014,"Family-Friendly, Good Locality"
U013,P005,"Investment Potential, Good Locality, Near Public Transport, Spacious, Family-Friendly, Budget-Friendly"
U006,P011,Good Locality
U011,P020,"Near Public Transport, Spacious"
U002,P019,"Good Locality, Budget-Friendly, Spacious, Investment Potential, Family-Friendly, Near Public Transport"
U006,P001,"Budget-Friendly, Good Locality, Near Public Transport, Investment Potential, Spacious"
U004,P018,Good Locality
U001,P008,"Investment Potential, Spacious, Good Locality, Budget-Friendly"
U018,P005,"Investment Potential, Spacious, Budget-Friendly, Near Public Transport, Good Locality"
U017,P013,"Budget-Friendly, Near Public Transport"
U002,P020,"Spacious, Near Public Transport"
U002,P001,"Budget-Friendly, Good Locality, Spacious"
U013,P014,"Near Public Transport, Spacious, Good Locality"
U008,P006,"Investment Potential, Family-Friendly, Budget-Friendly, Near Public Transport, Spacious"
U015,P008,Budget-Friendly
U005,P014,"Family-Friendly, Good Locality"
U008,P017,"Near Public Transport, Investment Potential, Good Locality, Family-Friendly, Spacious"
U003,P017,"Near Public Transport, Good Locality, Family-Friendly, Spacious, Investment Potential, Budget-Friendly"
U010,P016,"Budget-Friendly, Spacious, Good Locality"
U002,P006,"Family-Friendly, Investment Potential, Spacious"
U007,P007,Budget-Friendly
U019,P012,"Family-Friendly, Spacious, Good Locality"
U001,P014,"Good Locality, Investment Potential, Near Public Transport, Spacious, Family-Friendly"
U002,P004,"Investment Potential, Near Public Transport"
U007,P009,"Family-Friendly, Near Public Transport"
U003,P003,"Budget-Friendly, Family-Friendly, Investment Potential, Near Public Transport, Good Locality"
U016,P002,"Near Public Transport, Budget-Friendly, Good Locality"
U019,P007,Good Locality
U017,P019,"Family-Friendly, Budget-Friendly, Near Public Transport, Good Locality, Spacious"
U017,P011,"Budget-Friendly, Spacious, Near Public Transport, Investment Potential, Good Locality"
U004,P005,"Spacious, Family-Friendly, Near Public Transport, Good Locality, Investment Potential"
U018,P012,"Spacious, Investment Potential"
U013,P005,"Investment Potential, Family-Friendly, Near Public Transport, Spacious, Budget-Friendly, Good Locality"
U017,P020,"Budget-Friendly, Spacious, Good Locality, Investment Potential, Near Public Transport"
U019,P018,"Spacious, Good Locality, Near Public Transport, Investment Potential, Family-Friendly"
U002,P002,"Near Public Transport, Investment Potential, Spacious, Family-Friendly"
U011,P010,Spacious
U008,P015,Budget-Friendly
U012,P020,"Budget-Friendly, Near Public Transport, Investment Potential, Family-Friendly"
U016,P019,"Near Public Transport, Budget-Friendly, Spacious, Investment Potential, Good Locality, Family-Friendly"
U020,P007,"Near Public Transport, Spacious"
U017,P018,"Family-Friendly, Investment Potential, Near Public Transport"
U017,P009,"Investment Potential, Family-Friendly, Good Locality, Near Public Transport"
U015,P014,"Investment Potential, Family-Friendly"
U018,P018,Near Public Transport
U008,P014,"Family-Friendly, Good Locality, Near Public Transport"
U001,P018,Budget-Friendly
U004,P013,"Near Public Transport, Family-Friendly, Investment Potential, Spacious, Good Locality"
U003,P016,"Near Public Transport, Good Locality, Spacious"
U017,P006,"Budget-Friendly, Investment Potential, Near Public Transport, Spacious, Family-Friendly, Good Locality"
U016,P003,"Investment Potential, Family-Friendly, Budget-Friendly, Good Locality"
U020,P003,"Investment Potential, Spacious"
U020,P002,"Investment Potential, Near Public Transport, Good Locality, Budget-Friendly, Spacious"
U002,P018,"Near Public Transport, Budget-Friendly, Good Locality"
U010,P015,"Family-Friendly, Good Locality, Budget-Friendly, Investment Potential, Near Public Transport"
U010,P016,"Good Locality, Budget-Friendly, Family-Friendly, Near Public Transport"
U019,P003,"Budget-Friendly, Good Locality, Near Public Transport, Family-Friendly"
U001,P018,"Good Locality, Family-Friendly, Spacious, Investment Potential, Near Public Transport"
U019,P019,"Family-Friendly, Budget-Friendly, Good Locality, Near Public Transport"
U007,P001,"Budget-Friendly, Family-Friendly, Spacious, Near Public Transport, Good Locality"
U003,P016,"Investment Potential, Good Locality"
U014,P002,"Investment Potential, Good Locality, Spacious, Family-Friendly, Budget-Friendly"
U009,P020,Good Locality
U012,P005,"Good Locality, Budget-Friendly, Family-Friendly, Investment Potential"
U014,P008,Near Public Transport
U013,P018,"Investment Potential, Near Public Transport, Budget-Friendly, Good Locality, Spacious, Family-Friendly"
U016,P006,"Good Locality, Investment Potential"
U015,P003,"Spacious, Near Public Transport, Family-Friendly"
U016,P008,"Near Public Transport, Family-Friendly, Budget-Friendly"
U017,P014,"Good Locality, Family-Friendly, Budget-Friendly, Near Public Transport"
U017,P001,Investment Potential
U001,P016,"Family-Friendly, Good Locality"
U006,P009,"Budget-Friendly, Spacious"
U020,P012,"Spacious, Near Public Transport, Investment Potential"
U009,P006,Good Locality
U002,P005,"Spacious, Good Locality"
U014,P011,"Good Locality, Near Public Transport, Spacious, Family-Friendly, Budget-Friendly, Investment Potential"
U007,P007,"Family-Friendly, Investment Potential, Spacious, Near Public Transport, Budget-Friendly, Good Locality"
U006,P013,"Family-Friendly, Spacious"
U003,P004,"Family-Friendly, Investment Potential, Near Public Transport"
U009,P009,"Investment Potential, Budget-Friendly"
U017,P001,"Near Public Transport, Spacious, Budget-Friendly, Family-Friendly, Good Locality, Investment Potential"
U011,P005,Good Locality
U013,P003,"Near Public Transport, Family-Friendly, Investment Potential, Spacious, Good Locality"
U019,P017,Good Locality
U016,P018,Good Locality
U017,P019,"Investment Potential, Near Public Transport, Spacious, Good Locality"
U018,P007,Near Public Transport
U009,P016,Family-Friendly
U013,P012,"Near Public Transport, Family-Friendly, Budget-Friendly, Spacious, Good Locality"
U004,P013,"Family-Friendly, Near Public Transport, Investment Potential, Spacious, Budget-Friendly"
U013,P012,"Near Public Transport, Investment Potential, Budget-Friendly"
U011,P006,"Budget-Friendly, Investment Potential, Good Locality, Near Public Transport, Spacious, Family-Friendly"
U012,P005,"Investment Potential, Budget-Friendly, Near Public Transport, Good Locality, Spacious, Family-Friendly"
U008,P015,"Budget-Friendly, Good Locality"
U011,P013,"Near Public Transport, Family-Friendly, Spacious, Good Locality, Budget-Friendly"
U014,P016,"Budget-Friendly, Family-Friendly, Near Public Transport, Investment Potential"
U005,P019,"Investment Potential, Spacious, Budget-Friendly, Family-Friendly, Near Public Transport"
U020,P003,"Investment Potential, Spacious, Budget-Friendly, Family-Friendly, Good Locality"
U004,P011,Budget-Friendly
U012,P004,"Spacious, Near Public Transport"
U017,P008,"Investment Potential, Spacious, Budget-Friendly"
U020,P009,"Family-Friendly, Good Locality, Investment Potential, Near Public Transport"
U004,P018,"Near Public Transport, Good Locality, Budget-Friendly, Investment Potential, Family-Friendly"
U012,P013,Budget-Friendly
U019,P014,"Budget-Friendly, Near Public Transport, Family-Friendly, Investment Potential"
U009,P014,"Investment Potential, Budget-Friendly, Good Locality"
U002,P008,"Spacious, Near Public Transport, Investment Potential"
U004,P003,"Spacious, Investment Potential"
U015,P008,"Near Public Transport, Investment Potential, Budget-Friendly"
U002,P010,"Near Public Transport, Spacious, Budget-Friendly"
U011,P005,"Spacious, Investment Potential"
U012,P002,"Budget-Friendly, Good Locality, Family-Friendly, Spacious, Investment Potential"
U008,P020,"Budget-Friendly, Investment Potential, Near Public Transport, Spacious, Good Locality, Family-Friendly"
U014,P018,"Family-Friendly, Spacious, Near Public Transport, Budget-Friendly"
U006,P008,"Spacious, Investment Potential, Family-Friendly, Good Locality, Budget-Friendly"
U019,P020,"Family-Friendly, Spacious, Investment Potential, Good Locality, Near Public Transport"
U002,P013,Budget-Friendly
U013,P001,"Good Locality, Investment Potential"
U009,P015,"Near Public Transport, Spacious, Investment Potential"
U005,P005,Investment Potential
U019,P017,"Investment Potential, Near Public Transport"
U004,P014,"Family-Friendly, Good Locality, Investment Potential, Budget-Friendly, Near Public Transport"
U006,P003,"Family-Friendly, Budget-Friendly, Investment Potential, Near Public Transport"
U014,P003,"Good Locality, Budget-Friendly, Investment Potential, Near Public Transport, Family-Friendly"
U005,P008,"Good Locality, Budget-Friendly"
U006,P012,"Family-Friendly, Spacious, Investment Potential, Near Public Transport"
U013,P009,"Family-Friendly, Investment Potential, Spacious"
U009,P007,"Family-Friendly, Near Public Transport, Investment Potential"
U010,P011,"Near Public Transport, Budget-Friendly, Good Locality, Spacious, Family-Friendly, Investment Potential"
U013,P010,"Budget-Friendly, Spacious, Near Public Transport, Investment Potential"
U008,P016,"Good Locality, Investment Potential, Near Public Transport"
U017,P014,Investment Potential
U013,P018,"Family-Friendly, Near Public Transport"
U018,P009,Budget-Friendly
U003,P019,"Family-Friendly, Near Public Transport, Investment Potential"
U007,P012,"Near Public Transport, Good Locality, Family-Friendly, Budget-Friendly, Investment Potential, Spacious"
U013,P013,"Family-Friendly, Investment Potential, Budget-Friendly, Spacious, Good Locality"
U010,P020,"Family-Friendly, Good Locality, Spacious, Near Public Transport, Investment Potential, Budget-Friendly"
U002,P020,"Good Locality, Near Public Transport"
U020,P007,"Near Public Transport, Investment Potential, Budget-Friendly, Spacious"
U001,P017,"Budget-Friendly, Near Public Transport, Family-Friendly, Good Locality"
U009,P008,"Family-Friendly, Good Locality, Spacious, Budget-Friendly, Near Public Transport"
U001,P011,"Investment Potential, Family-Friendly, Budget-Friendly, Spacious"
U008,P009,"Near Public Transport, Investment Potential, Spacious, Family-Friendly"
U009,P002,"Family-Friendly, Spacious, Near Public Transport, Investment Potential, Good Locality"
U007,P019,Family-Friendly
U008,P013,"Family-Friendly, Spacious, Budget-Friendly, Near Public Transport"
U014,P011,Near Public Transport
U007,P002,"Budget-Friendly, Investment Potential, Near Public Transport, Good Locality, Spacious"
U009,P009,"Budget-Friendly, Good Locality, Family-Friendly"
U004,P006,"Budget-Friendly, Good Locality"
U015,P009,"Budget-Friendly, Investment Potential, Spacious, Good Locality"
U003,P006,"Investment Potential, Good Locality, Spacious"
U012,P020,"Near Public Transport, Family-Friendly, Good Locality, Budget-Friendly, Spacious"
U013,P008,"Investment Potential, Good Locality, Family-Friendly, Budget-Friendly, Near Public Transport"
U001,P010,"Spacious, Good Locality, Budget-Friendly, Investment Potential, Family-Friendly, Near Public Transport"
U008,P006,"Family-Friendly, Spacious, Budget-Friendly, Near Public Transport, Good Locality, Investment Potential"
U008,P014,"Good Locality, Budget-Friendly, Spacious"
U001,P020,"Budget-Friendly, Investment Potential, Near Public Transport, Spacious"
U018,P011,"Investment Potential, Budget-Friendly, Good Locality, Near Public Transport, Spacious"
U002,P012,"Spacious, Family-Friendly, Near Public Transport, Budget-Friendly, Investment Potential"
U017,P017,Good Locality
U014,P016,"Budget-Friendly, Spacious, Near Public Transport, Good Locality, Family-Friendly"
U008,P010,"Good Locality, Investment Potential, Spacious, Budget-Friendly"
U002,P004,"Budget-Friendly, Investment Potential, Family-Friendly"
U011,P017,"Spacious, Family-Friendly, Good Locality"
U005,P011,"Investment Potential, Family-Friendly, Good Locality, Budget-Friendly"
U005,P019,Near Public Transport
U007,P019,Good Locality
U004,P016,"Budget-Friendly, Good Locality, Near Public Transport, Spacious"
U015,P006,"Investment Potential, Near Public Transport, Good Locality, Family-Friendly"
U007,P013,"Family-Friendly, Spacious, Investment Potential, Good Locality, Budget-Friendly, Near Public Transport"
U017,P008,Family-Friendly
U012,P018,"Good Locality, Budget-Friendly, Family-Friendly"
U013,P011,"Spacious, Budget-Friendly, Good Locality"
U011,P001,"Spacious, Budget-Friendly, Investment Potential, Near Public Transport, Family-Friendly, Good Locality"
U013,P015,"Budget-Friendly, Near Public Transport, Investment Potential, Good Locality, Spacious"
U016,P007,"Good Locality, Family-Friendly, Budget-Friendly, Spacious, Near Public Transport"
U003,P015,"Near Public Transport, Budget-Friendly, Spacious, Family-Friendly, Good Locality, Investment Potential"
U010,P020,"Investment Potential, Spacious"
U011,P017,Spacious
U008,P012,"Budget-Friendly, Near Public Transport, Good Locality"
U017,P012,"Family-Friendly, Investment Potential, Good Locality"
U002,P017,"Near Public Transport, Budget-Friendly, Good Locality, Investment Potential, Family-Friendly, Spacious"
U014,P018,"Near Public Transport, Investment Potential, Family-Friendly, Good Locality, Budget-Friendly"
U005,P018,"Budget-Friendly, Good Locality, Investment Potential, Family-Friendly, Spacious"
U014,P006,"Good Locality, Spacious, Budget-Friendly, Near Public Transport"
U020,P005,Good Locality
U013,P008,"Investment Potential, Budget-Friendly, Good Locality"
U004,P001,"Family-Friendly, Budget-Friendly, Spacious, Good Locality"
U014,P020,"Budget-Friendly, Good Locality, Family-Friendly, Investment Potential, Near Public Transport"
U003,P018,"Investment Potential, Good Locality, Spacious"
U016,P020,Investment Potential
U010,P013,"Spacious, Family-Friendly, Investment Potential"
U010,P009,"Investment Potential, Spacious, Good Locality, Family-Friendly, Budget-Friendly, Near Public Transport"
U020,P010,"Near Public Transport, Good Locality, Investment Potential, Family-Friendly"
U019,P007,"Budget-Friendly, Near Public Transport, Good Locality, Spacious, Investment Potential"
U012,P015,"Near Public Transport, Budget-Friendly, Family-Friendly, Spacious"
U017,P018,Good Locality
U016,P018,"Investment Potential, Family-Friendly"
U010,P016,"Good Locality, Near Public Transport, Spacious, Budget-Friendly, Family-Friendly"
U002,P015,"Good Locality, Budget-Friendly, Family-Friendly, Spacious"
U009,P006,"Family-Friendly, Investment Potential"
U008,P003,"Family-Friendly, Good Locality, Spacious, Budget-Friendly"
U020,P019,"Spacious, Family-Friendly, Budget-Friendly, Investment Potential, Good Locality"
U003,P014,"Near Public Transport, Budget-Friendly, Family-Friendly"
U018,P013,"Family-Friendly, Budget-Friendly, Spacious, Good Locality, Near Public Transport"
U007,P020,"Spacious, Budget-Friendly, Investment Potential, Family-Friendly, Good Locality"
U008,P005,"Good Locality, Investment Potential, Spacious, Near Public Transport, Family-Friendly"
U019,P012,"Budget-Friendly, Near Public Transport, Spacious, Investment Potential, Family-Friendly, Good Locality"
U006,P005,"Family-Friendly, Budget-Friendly, Near Public Transport"
U003,P006,"Spacious, Good Locality"
U003,P018,"Spacious, Budget-Friendly, Good Locality, Family-Friendly, Investment Potential"
U019,P007,"Budget-Friendly, Near Public Transport"
U003,P007,Spacious
U005,P019,"Spacious, Family-Friendly, Investment Potential, Good Locality, Budget-Friendly"
U008,P005,"Near Public Transport, Budget-Friendly, Investment Potential, Good Locality, Spacious, Family-Friendly"
U005,P009,"Spacious, Good Locality, Near Public Transport, Investment Potential, Budget-Friendly, Family-Friendly"
U019,P013,"Near Public Transport, Good Locality, Budget-Friendly, Family-Friendly, Spacious, Investment Potential"
U010,P018,Investment Potential
U007,P005,Budget-Friendly
U008,P010,"Near Public Transport, Family-Friendly, Good Locality, Investment Potential"
U006,P020,Budget-Friendly
U018,P008,"Budget-Friendly, Investment Potential"
U006,P020,"Investment Potential, Near Public Transport, Spacious, Budget-Friendly"
U017,P004,"Good Locality, Budget-Friendly"
U019,P011,"Family-Friendly, Near Public Transport, Good Locality, Spacious, Investment Potential, Budget-Friendly"
U009,P011,"Budget-Friendly, Spacious, Family-Friendly, Good Locality, Near Public Transport, Investment Potential"
U007,P008,Budget-Friendly
U014,P009,"Good Locality, Budget-Friendly"
U001,P005,"Investment Potential, Family-Friendly, Budget-Friendly, Spacious, Near Public Transport"
U020,P020,"Budget-Friendly, Investment Potential, Near Public Transport, Spacious, Good Locality"
U011,P010,Budget-Friendly
U015,P011,"Budget-Friendly, Spacious, Good Locality"
U002,P006,"Budget-Friendly, Family-Friendly"
U012,P002,"Investment Potential, Budget-Friendly, Near Public Transport, Good Locality, Family-Friendly, Spacious"
U006,P003,"Family-Friendly, Near Public Transport, Good Locality, Investment Potential, Spacious"
U013,P005,"Spacious, Family-Friendly, Near Public Transport, Good Locality"
U010,P005,"Near Public Transport, Family-Friendly, Good Locality, Spacious"
U017,P015,"Good Locality, Spacious"
U007,P003,"Investment Potential, Near Public Transport, Budget-Friendly"
U015,P009,"Spacious, Budget-Friendly, Investment Potential"
U006,P013,"Near Public Transport, Spacious"
U014,P011,"Family-Friendly, Near Public Transport, Budget-Friendly, Spacious, Good Locality, Investment Potential"
U012,P002,Spacious
U015,P005,"Spacious, Near Public Transport, Budget-Friendly, Investment Potential, Good Locality"
U014,P011,"Investment Potential, Near Public Transport, Budget-Friendly, Good Locality, Family-Friendly, Spacious"
U014,P010,Spacious
U004,P002,"Investment Potential, Family-Friendly, Spacious, Near Public Transport"
U005,P003,"Spacious, Good Locality"
U004,P009,Budget-Friendly
U009,P016,"Good Locality, Family-Friendly, Spacious, Budget-Friendly, Near Public Transport, Investment Potential"
U010,P002,"Spacious, Family-Friendly, Budget-Friendly, Near Public Transport"
U018,P016,"Investment Potential, Spacious, Good Locality"
U014,P003,"Near Public Transport, Spacious, Investment Potential, Good Locality, Budget-Friendly"
U013,P013,"Family-Friendly, Near Public Transport"
U007,P012,"Spacious, Family-Friendly, Good Locality, Investment Potential, Budget-Friendly, Near Public Transport"
U002,P008,"Good Locality, Investment Potential, Near Public Transport, Family-Friendly"
U007,P002,Spacious
U009,P018,"Budget-Friendly, Good Locality, Investment Potential, Spacious, Family-Friendly, Near Public Transport"
U006,P020,"Near Public Transport, Investment Potential, Family-Friendly, Good Locality"
U008,P009,Spacious
U012,P016,"Near Public Transport, Investment Potential, Budget-Friendly, Good Locality, Family-Friendly"
U019,P015,"Spacious, Family-Friendly, Investment Potential, Budget-Friendly"
U013,P007,"Family-Friendly, Spacious, Budget-Friendly, Good Locality, Investment Potential, Near Public Transport"
U008,P015,"Near Public Transport, Investment Potential"
U005,P012,"Budget-Friendly, Family-Friendly, Near Public Transport, Spacious, Good Locality, Investment Potential"
U020,P016,Spacious
U018,P013,"Spacious, Good Locality, Family-Friendly, Budget-Friendly, Investment Potential, Near Public Transport"
U017,P019,"Family-Friendly, Spacious, Good Locality, Near Public Transport"
U004,P006,"Spacious, Near Public Transport, Good Locality, Investment Potential, Family-Friendly"
U018,P020,"Good Locality, Near Public Transport"
U007,P020,"Family-Friendly, Budget-Friendly, Good Locality, Near Public Transport, Investment Potential"
U018,P006,Near Public Transport
U007,P015,"Investment Potential, Spacious, Family-Friendly"
U007,P007,"Spacious, Budget-Friendly, Good Locality, Family-Friendly"
U016,P001,Budget-Friendly
U017,P019,Near Public Transport
U016,P006,"Near Public Transport, Spacious, Budget-Friendly, Investment Potential"
U010,P006,"Spacious, Good Locality, Family-Friendly, Near Public Transport, Investment Potential, Budget-Friendly"
U003,P011,Budget-Friendly
U009,P014,"Investment Potential, Near Public Transport, Family-Friendly, Good Locality, Spacious, Budget-Friendly"
U015,P009,"Spacious, Budget-Friendly, Near Public Transport, Good Locality"
U014,P020,"Near Public Transport, Budget-Friendly, Investment Potential, Spacious, Family-Friendly"
