feedback_id,user_id,property_id,inspection_date,feedback_date,liking_text,disliking_text,property_condition_rating,agent_interaction_rating,overall_experience_rating
F5741,U010,P005,2024-08-06 16:31:48.282793,2024-08-11 16:31:48.282793,I appreciate the energy-efficient features of this property.,The area is too noisy.,5,2,3
F3736,U012,P016,2024-07-30 16:31:48.282793,2024-08-04 16:31:48.282793,The price is very reasonable for the size of the property.,"The location is not ideal, too far from the city center.",2,1,4
F1100,U015,P019,2024-07-18 16:31:48.282793,2024-07-20 16:31:48.282793,The house has a lot of potential for renovation and investment.,The neighborhood does not seem safe.,3,5,2
F3314,U007,P005,2024-07-27 16:31:48.282793,2024-07-27 16:31:48.282793,I loved the spacious living area and the modern kitchen.,The property requires too many repairs.,3,1,4
F9653,U015,P011,2024-08-13 16:31:48.282793,2024-08-20 16:31:48.282793,"The property is in a great location, close to public transport and schools.","The location is not ideal, too far from the city center.",5,3,4
F1473,U012,P005,2024-08-01 16:31:48.282793,2024-08-02 16:31:48.282793,The house has a lot of potential for renovation and investment.,The property is too expensive for my budget.,2,1,4
F5517,U013,P020,2024-07-29 16:31:48.282793,2024-08-03 16:31:48.282793,The views from the balcony are amazing.,The area is too noisy.,1,4,4
F6369,U012,P014,2024-08-12 16:31:48.282793,2024-08-14 16:31:48.282793,The views from the balcony are amazing.,The property requires too many repairs.,1,1,4
F7248,U003,P015,2024-07-18 16:31:48.282793,2024-07-19 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,It’s too far from public transport and schools.,4,2,3
F8183,U020,P003,2024-08-08 16:31:48.282793,2024-08-11 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,It lacks modern features and feels outdated.,5,1,3
F2644,U015,P010,2024-07-15 16:31:48.282793,2024-07-17 16:31:48.282793,The layout of the house is very practical.,The neighborhood does not seem safe.,5,4,2
F1029,U005,P010,2024-08-01 16:31:48.282793,2024-08-05 16:31:48.282793,This property feels like a place I could call home.,The neighborhood does not seem safe.,2,3,2
F8109,U014,P020,2024-08-06 16:31:48.282793,2024-08-12 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,The rooms are smaller than I expected.,5,2,4
F7552,U006,P016,2024-07-15 16:31:48.282793,2024-07-18 16:31:48.282793,The layout of the house is very practical.,It’s too far from public transport and schools.,2,3,4
F9941,U004,P007,2024-07-26 16:31:48.282793,2024-07-31 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,There are too few parking spaces available.,3,2,4
F8735,U016,P003,2024-07-31 16:31:48.282793,2024-08-02 16:31:48.282793,"It's close to my workplace, which is very convenient.",The neighborhood does not seem safe.,1,2,2
F7420,U018,P008,2024-07-25 16:31:48.282793,2024-07-27 16:31:48.282793,The views from the balcony are amazing.,It’s too far from public transport and schools.,4,4,1
F1538,U012,P013,2024-07-24 16:31:48.282793,2024-07-27 16:31:48.282793,The community around the property is very friendly.,The backyard is too small.,2,1,2
F4357,U020,P002,2024-08-01 16:31:48.282793,2024-08-01 16:31:48.282793,The price is very reasonable for the size of the property.,The backyard is too small.,2,5,5
F6960,U001,P019,2024-07-23 16:31:48.282793,2024-07-29 16:31:48.282793,The house has a lot of potential for renovation and investment.,I’m not a fan of the interior design.,3,2,5
F5365,U012,P002,2024-07-29 16:31:48.282793,2024-08-02 16:31:48.282793,"The property is in a great location, close to public transport and schools.",It’s too far from public transport and schools.,3,2,1
F4357,U014,P006,2024-08-02 16:31:48.282793,2024-08-03 16:31:48.282793,The community around the property is very friendly.,The property requires too many repairs.,4,4,1
F4826,U016,P015,2024-07-19 16:31:48.282793,2024-07-20 16:31:48.282793,The community around the property is very friendly.,I don't like the layout of the property.,4,3,3
F5869,U001,P009,2024-08-02 16:31:48.282793,2024-08-09 16:31:48.282793,I appreciate the energy-efficient features of this property.,"The location is not ideal, too far from the city center.",2,2,2
F5261,U013,P004,2024-08-08 16:31:48.282793,2024-08-11 16:31:48.282793,This property feels like a place I could call home.,The rooms are smaller than I expected.,1,5,4
F8901,U009,P012,2024-08-13 16:31:48.282793,2024-08-19 16:31:48.282793,The house has a lot of potential for renovation and investment.,It’s too far from public transport and schools.,5,1,4
F3560,U005,P011,2024-07-21 16:31:48.282793,2024-07-28 16:31:48.282793,This property feels like a place I could call home.,It’s too far from public transport and schools.,1,3,5
F8251,U009,P007,2024-07-19 16:31:48.282793,2024-07-24 16:31:48.282793,The house has a lot of potential for renovation and investment.,The property requires too many repairs.,4,1,3
F4125,U006,P012,2024-07-18 16:31:48.282793,2024-07-22 16:31:48.282793,"The property is in a great location, close to public transport and schools.",The property is too expensive for my budget.,1,5,3
F4965,U010,P003,2024-08-02 16:31:48.282793,2024-08-06 16:31:48.282793,"It's close to my workplace, which is very convenient.",It’s too far from public transport and schools.,3,3,1
F5084,U020,P012,2024-08-09 16:31:48.282793,2024-08-12 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,The property requires too many repairs.,3,4,5
F3377,U006,P007,2024-07-27 16:31:48.282793,2024-07-31 16:31:48.282793,"It's close to my workplace, which is very convenient.",The area is too noisy.,1,1,3
F1019,U012,P003,2024-07-30 16:31:48.282793,2024-08-02 16:31:48.282793,"It has all the amenities I was looking for, including a gym and swimming pool.",The property is too expensive for my budget.,2,2,5
F3757,U013,P002,2024-08-06 16:31:48.282793,2024-08-09 16:31:48.282793,The views from the balcony are amazing.,The property requires too many repairs.,1,4,1
F9048,U008,P019,2024-07-15 16:31:48.282793,2024-07-19 16:31:48.282793,The house has a lot of potential for renovation and investment.,"The location is not ideal, too far from the city center.",2,4,4
F1079,U003,P018,2024-07-31 16:31:48.282793,2024-08-03 16:31:48.282793,"The property is in a great location, close to public transport and schools.",I’m not a fan of the interior design.,1,3,2
F1396,U013,P017,2024-07-18 16:31:48.282793,2024-07-19 16:31:48.282793,"It has all the amenities I was looking for, including a gym and swimming pool.",The backyard is too small.,4,5,5
F9192,U008,P018,2024-08-12 16:31:48.282793,2024-08-13 16:31:48.282793,The layout of the house is very practical.,It’s too far from public transport and schools.,3,2,3
F5001,U015,P015,2024-07-18 16:31:48.282793,2024-07-19 16:31:48.282793,The community around the property is very friendly.,It lacks modern features and feels outdated.,4,1,2
F8834,U006,P006,2024-08-05 16:31:48.282793,2024-08-12 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,There are too few parking spaces available.,2,4,3
F2761,U004,P009,2024-07-17 16:31:48.282793,2024-07-23 16:31:48.282793,"It's close to my workplace, which is very convenient.",I don't like the layout of the property.,3,5,2
F9490,U002,P014,2024-08-04 16:31:48.282793,2024-08-04 16:31:48.282793,The views from the balcony are amazing.,The rooms are smaller than I expected.,2,4,5
F1363,U007,P004,2024-07-17 16:31:48.282793,2024-07-19 16:31:48.282793,I appreciate the energy-efficient features of this property.,It’s too far from public transport and schools.,2,4,1
F6216,U009,P002,2024-08-08 16:31:48.282793,2024-08-09 16:31:48.282793,The price is very reasonable for the size of the property.,I’m not a fan of the interior design.,4,5,4
F3243,U013,P019,2024-07-28 16:31:48.282793,2024-07-29 16:31:48.282793,I loved the spacious living area and the modern kitchen.,I don't like the layout of the property.,4,5,4
F3087,U018,P011,2024-07-26 16:31:48.282793,2024-07-30 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,"The location is not ideal, too far from the city center.",1,5,5
F1453,U001,P020,2024-08-13 16:31:48.282793,2024-08-14 16:31:48.282793,"The property is in a great location, close to public transport and schools.",The backyard is too small.,2,3,5
F5872,U005,P009,2024-08-06 16:31:48.282793,2024-08-11 16:31:48.282793,"It's close to my workplace, which is very convenient.","The location is not ideal, too far from the city center.",4,5,4
F4459,U018,P012,2024-07-21 16:31:48.282793,2024-07-21 16:31:48.282793,The price is very reasonable for the size of the property.,I’m not a fan of the interior design.,3,3,3
F2082,U010,P005,2024-08-06 16:31:48.282793,2024-08-11 16:31:48.282793,The views from the balcony are amazing.,There are too few parking spaces available.,1,4,1
F7724,U004,P020,2024-07-28 16:31:48.282793,2024-08-01 16:31:48.282793,The views from the balcony are amazing.,The property requires too many repairs.,2,1,1
F4059,U006,P020,2024-07-27 16:31:48.282793,2024-07-30 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,I don't like the layout of the property.,5,5,3
F7466,U020,P005,2024-08-11 16:31:48.282793,2024-08-18 16:31:48.282793,I loved the spacious living area and the modern kitchen.,The property requires too many repairs.,5,4,3
F1779,U005,P015,2024-07-30 16:31:48.282793,2024-08-01 16:31:48.282793,The community around the property is very friendly.,It lacks modern features and feels outdated.,2,4,5
F9776,U009,P004,2024-08-08 16:31:48.282793,2024-08-12 16:31:48.282793,I appreciate the energy-efficient features of this property.,The area is too noisy.,3,1,2
F4868,U003,P012,2024-07-28 16:31:48.282793,2024-07-28 16:31:48.282793,The price is very reasonable for the size of the property.,It lacks modern features and feels outdated.,5,2,5
F9687,U019,P010,2024-08-12 16:31:48.282793,2024-08-13 16:31:48.282793,The community around the property is very friendly.,I don't like the layout of the property.,4,4,3
F9111,U015,P014,2024-08-09 16:31:48.282793,2024-08-15 16:31:48.282793,This property feels like a place I could call home.,There are too few parking spaces available.,4,1,5
F8960,U018,P007,2024-08-11 16:31:48.282793,2024-08-12 16:31:48.282793,"The property is in a great location, close to public transport and schools.",The property is too expensive for my budget.,4,2,1
F7517,U019,P017,2024-07-20 16:31:48.282793,2024-07-27 16:31:48.282793,The house has a lot of potential for renovation and investment.,"The location is not ideal, too far from the city center.",4,2,3
F6201,U019,P015,2024-08-04 16:31:48.282793,2024-08-05 16:31:48.282793,"It has all the amenities I was looking for, including a gym and swimming pool.",It’s too far from public transport and schools.,2,4,2
F9787,U011,P002,2024-08-03 16:31:48.282793,2024-08-09 16:31:48.282793,"It's close to my workplace, which is very convenient.",The property is too expensive for my budget.,4,1,1
F8429,U012,P012,2024-08-11 16:31:48.282793,2024-08-16 16:31:48.282793,I appreciate the energy-efficient features of this property.,The property is too expensive for my budget.,1,1,5
F4286,U016,P010,2024-08-02 16:31:48.282793,2024-08-05 16:31:48.282793,"It's close to my workplace, which is very convenient.",It lacks modern features and feels outdated.,2,3,5
F5842,U016,P004,2024-08-13 16:31:48.282793,2024-08-14 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,The property requires too many repairs.,4,1,5
F8386,U011,P016,2024-07-27 16:31:48.282793,2024-08-01 16:31:48.282793,"It's close to my workplace, which is very convenient.",I don't like the layout of the property.,2,2,1
F7494,U010,P008,2024-08-07 16:31:48.282793,2024-08-07 16:31:48.282793,I appreciate the energy-efficient features of this property.,The area is too noisy.,2,2,4
F9467,U016,P010,2024-07-16 16:31:48.282793,2024-07-20 16:31:48.282793,The layout of the house is very practical.,The property requires too many repairs.,3,4,4
F9064,U016,P020,2024-07-19 16:31:48.282793,2024-07-23 16:31:48.282793,The price is very reasonable for the size of the property.,The rooms are smaller than I expected.,1,2,4
F4056,U012,P002,2024-07-24 16:31:48.282793,2024-07-26 16:31:48.282793,The views from the balcony are amazing.,The rooms are smaller than I expected.,3,1,4
F9791,U010,P014,2024-07-15 16:31:48.282793,2024-07-19 16:31:48.282793,I appreciate the energy-efficient features of this property.,The rooms are smaller than I expected.,1,1,4
F4699,U008,P002,2024-07-16 16:31:48.282793,2024-07-20 16:31:48.282793,"It has all the amenities I was looking for, including a gym and swimming pool.",The neighborhood does not seem safe.,4,4,5
F8330,U001,P020,2024-07-16 16:31:48.282793,2024-07-18 16:31:48.282793,The house has a lot of potential for renovation and investment.,The rooms are smaller than I expected.,5,4,5
F8501,U001,P016,2024-07-25 16:31:48.282793,2024-07-30 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,The backyard is too small.,2,3,3
F1206,U013,P020,2024-07-27 16:31:48.282793,2024-07-31 16:31:48.282793,The community around the property is very friendly.,It lacks modern features and feels outdated.,4,3,4
F4086,U020,P008,2024-07-17 16:31:48.282793,2024-07-19 16:31:48.282793,"It has all the amenities I was looking for, including a gym and swimming pool.",I’m not a fan of the interior design.,4,5,1
F8905,U001,P004,2024-07-26 16:31:48.282793,2024-07-29 16:31:48.282793,The house has a lot of potential for renovation and investment.,It’s too far from public transport and schools.,5,1,5
F7774,U012,P009,2024-08-13 16:31:48.282793,2024-08-20 16:31:48.282793,The community around the property is very friendly.,The backyard is too small.,1,5,5
F3874,U004,P001,2024-07-29 16:31:48.282793,2024-07-29 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,The neighborhood does not seem safe.,5,1,4
F2316,U013,P012,2024-08-05 16:31:48.282793,2024-08-07 16:31:48.282793,I appreciate the energy-efficient features of this property.,It lacks modern features and feels outdated.,5,5,5
F8189,U009,P011,2024-07-24 16:31:48.282793,2024-07-25 16:31:48.282793,I appreciate the energy-efficient features of this property.,The backyard is too small.,1,2,2
F1408,U004,P017,2024-08-09 16:31:48.282793,2024-08-16 16:31:48.282793,The layout of the house is very practical.,The property requires too many repairs.,5,2,1
F7686,U001,P018,2024-07-28 16:31:48.282793,2024-07-30 16:31:48.282793,I loved the spacious living area and the modern kitchen.,The property is too expensive for my budget.,3,2,4
F4717,U013,P004,2024-07-15 16:31:48.282793,2024-07-15 16:31:48.282793,"The property is in a great location, close to public transport and schools.",The backyard is too small.,5,1,3
F6701,U001,P001,2024-08-04 16:31:48.282793,2024-08-09 16:31:48.282793,"It has all the amenities I was looking for, including a gym and swimming pool.",The property is too expensive for my budget.,3,2,2
F7688,U020,P006,2024-08-06 16:31:48.282793,2024-08-12 16:31:48.282793,The price is very reasonable for the size of the property.,The backyard is too small.,3,4,5
F2305,U005,P016,2024-07-19 16:31:48.282793,2024-07-24 16:31:48.282793,The layout of the house is very practical.,The rooms are smaller than I expected.,3,3,4
F5836,U007,P006,2024-07-29 16:31:48.282793,2024-08-02 16:31:48.282793,I appreciate the energy-efficient features of this property.,I don't like the layout of the property.,4,5,4
F5144,U002,P008,2024-08-09 16:31:48.282793,2024-08-12 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,The area is too noisy.,3,4,2
F8693,U001,P010,2024-08-04 16:31:48.282793,2024-08-11 16:31:48.282793,"It's close to my workplace, which is very convenient.",The property is too expensive for my budget.,3,5,5
F6683,U017,P017,2024-07-17 16:31:48.282793,2024-07-22 16:31:48.282793,"It's close to my workplace, which is very convenient.",It’s too far from public transport and schools.,4,5,1
F4825,U017,P019,2024-08-13 16:31:48.282793,2024-08-14 16:31:48.282793,"The property is in a great location, close to public transport and schools.",The property is too expensive for my budget.,3,3,1
F5634,U011,P002,2024-07-25 16:31:48.282793,2024-07-31 16:31:48.282793,I appreciate the energy-efficient features of this property.,The neighborhood does not seem safe.,5,3,2
F5159,U017,P008,2024-08-03 16:31:48.282793,2024-08-10 16:31:48.282793,"The property is in a great location, close to public transport and schools.",The rooms are smaller than I expected.,1,4,1
F2089,U005,P016,2024-08-09 16:31:48.282793,2024-08-13 16:31:48.282793,"It's close to my workplace, which is very convenient.",It’s too far from public transport and schools.,4,5,2
F4499,U003,P004,2024-08-05 16:31:48.282793,2024-08-09 16:31:48.282793,The views from the balcony are amazing.,It lacks modern features and feels outdated.,4,1,3
F9483,U003,P014,2024-08-10 16:31:48.282793,2024-08-17 16:31:48.282793,The community around the property is very friendly.,The neighborhood does not seem safe.,5,5,5
F9752,U020,P004,2024-08-06 16:31:48.282793,2024-08-13 16:31:48.282793,"The property is in a great location, close to public transport and schools.",The area is too noisy.,2,5,2
F7951,U014,P018,2024-08-05 16:31:48.282793,2024-08-11 16:31:48.282793,I appreciate the energy-efficient features of this property.,"The location is not ideal, too far from the city center.",3,5,2
F6575,U020,P005,2024-08-13 16:31:48.282793,2024-08-19 16:31:48.282793,The community around the property is very friendly.,The property requires too many repairs.,4,2,1
F7212,U015,P003,2024-07-22 16:31:48.282793,2024-07-24 16:31:48.282793,I appreciate the energy-efficient features of this property.,I’m not a fan of the interior design.,1,3,5
F3889,U005,P017,2024-07-30 16:31:48.282793,2024-08-06 16:31:48.282793,I loved the spacious living area and the modern kitchen.,The rooms are smaller than I expected.,1,2,3
F9453,U004,P015,2024-08-02 16:31:48.282793,2024-08-07 16:31:48.282793,This property feels like a place I could call home.,"The location is not ideal, too far from the city center.",2,1,5
F4645,U013,P003,2024-08-05 16:31:48.282793,2024-08-06 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,I don't like the layout of the property.,3,4,3
F7829,U006,P011,2024-08-01 16:31:48.282793,2024-08-05 16:31:48.282793,"It's close to my workplace, which is very convenient.",The property is too expensive for my budget.,4,4,5
F4851,U014,P019,2024-07-25 16:31:48.282793,2024-07-25 16:31:48.282793,I like the quiet neighborhood and the fact that it has a big backyard.,The property requires too many repairs.,5,3,2
F6790,U009,P019,2024-07-18 16:31:48.282793,2024-07-24 16:31:48.282793,The layout of the house is very practical.,"The location is not ideal, too far from the city center.",3,4,4
F4606,U009,P003,2024-07-18 16:31:48.282793,2024-07-21 16:31:48.282793,The community around the property is very friendly.,The property requires too many repairs.,1,2,4
F3643,U007,P004,2024-07-31 16:31:48.282793,2024-08-03 16:31:48.282793,The house has a lot of potential for renovation and investment.,There are too few parking spaces available.,4,4,4
F1340,U017,P019,2024-07-27 16:31:48.282793,2024-07-31 16:31:48.282793,The views from the balcony are amazing.,The neighborhood does not seem safe.,4,1,3
